epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1775.42,0.9235,0.71633,1.26189,0.85949,0.947,0.94827,0.73858,0.82603,0.95118,1.2679,0.000930618,0.000930618,0.000930618
43,1813.88,0.92449,0.73712,1.27012,0.86985,0.93432,0.94907,0.74297,0.82362,0.76388,1.26069,0.000926218,0.000926218,0.000926218
44,1855.83,0.92742,0.73294,1.26383,0.83448,0.95658,0.93681,0.72679,0.84661,0.65789,1.2925,0.000921819,0.000921819,0.000921819
45,1893.62,0.9359,0.70355,1.26829,0.83241,0.94952,0.94324,0.74904,0.78767,0.73209,1.23738,0.000917419,0.000917419,0.000917419
46,1931.26,0.9179,0.70134,1.25886,0.85185,0.93801,0.93056,0.73411,0.79955,0.76366,1.2411,0.00091302,0.00091302,0.00091302
47,1968.93,0.92482,0.71872,1.26093,0.85766,0.95566,0.94149,0.73488,0.83892,0.65492,1.28455,0.00090862,0.00090862,0.00090862
48,2003.66,0.92073,0.70553,1.25514,0.8295,0.96344,0.94968,0.74841,0.80595,0.70528,1.25319,0.000904221,0.000904221,0.000904221
49,2039.03,0.90467,0.68759,1.24197,0.8264,0.92727,0.93138,0.72784,0.82252,0.67248,1.26238,0.000899821,0.000899821,0.000899821
50,2074.63,0.91363,0.70323,1.248,0.86952,0.96061,0.95428,0.75313,0.7949,0.6067,1.2398,0.000895422,0.000895422,0.000895422
51,2108.95,0.91043,0.68005,1.24828,0.85603,0.93054,0.93474,0.72765,0.83134,0.66294,1.27211,0.000891022,0.000891022,0.000891022
52,2144.21,0.91279,0.69547,1.25842,0.88594,0.9355,0.95512,0.75332,0.80629,0.58691,1.25382,0.000886622,0.000886622,0.000886622
53,2178.53,0.89697,0.67895,1.23919,0.87261,0.94529,0.95505,0.75088,0.81078,0.66484,1.25502,0.000882223,0.000882223,0.000882223
54,2212.76,0.91694,0.69806,1.25781,0.86389,0.9435,0.95881,0.74418,0.8312,0.68357,1.26259,0.000877823,0.000877823,0.000877823
55,2250.04,0.90761,0.67337,1.24773,0.87739,0.96694,0.95891,0.75209,0.81543,0.56931,1.26441,0.000873424,0.000873424,0.000873424
56,2288.78,0.88408,0.65543,1.23209,0.87397,0.95054,0.9521,0.75028,0.79882,0.60223,1.24042,0.000869024,0.000869024,0.000869024
57,2327.38,0.90326,0.67445,1.23207,0.87148,0.96754,0.95173,0.75923,0.7696,0.56508,1.21459,0.000864625,0.000864625,0.000864625
58,2364.74,0.90524,0.65276,1.23823,0.88641,0.95566,0.95536,0.74991,0.81021,0.58177,1.24794,0.000860225,0.000860225,0.000860225
59,2401.36,0.89721,0.65924,1.23866,0.87409,0.97338,0.95836,0.75325,0.81669,0.55271,1.25462,0.000855826,0.000855826,0.000855826
60,2438.4,0.88856,0.65953,1.23076,0.86107,0.94495,0.94346,0.74812,0.79974,0.61603,1.24279,0.000851426,0.000851426,0.000851426
61,2475.32,0.88493,0.64498,1.23895,0.83666,0.96111,0.94805,0.75896,0.77809,0.57442,1.21958,0.000847026,0.000847026,0.000847026
62,2511.31,0.88462,0.63146,1.23541,0.86906,0.95434,0.95578,0.7672,0.77809,0.5544,1.22047,0.000842627,0.000842627,0.000842627
63,2547.73,0.8807,0.6423,1.23171,0.86082,0.94836,0.94845,0.75204,0.79721,0.56477,1.24034,0.000838227,0.000838227,0.000838227
64,2584.1,0.9125,0.65171,1.24816,0.8918,0.96063,0.96047,0.75546,0.81005,0.5799,1.24594,0.000833828,0.000833828,0.000833828
